video,duration_sec,frames_processed,blink_count,blinks_per_sec,blinks_per_min,face_height_cm,face_width_cm,left_eye_height_cm,left_eye_width_cm,right_eye_height_cm,right_eye_width_cm,nose_height_cm,nose_width_cm,mouth_height_cm,mouth_width_cm,face_height_px,face_width_px,px_per_cm
GX010459.MP4,130.4,932.0,8.0,0.0614,3.68,23.0,20.4,1.05,4.03,1.01,4.17,7.28,6.39,0.05,7.71,477.4,423.4,20.76
GX010461.MP4,121.9,1216.0,21.0,0.1723,10.34,23.0,20.5,0.99,4.06,0.97,4.24,7.45,6.66,0.03,7.85,587.1,523.4,25.52
GX010462.MP4,141.2,1405.0,26.0,0.1842,11.05,23.0,20.64,1.02,4.13,0.99,4.32,7.69,6.95,0.06,7.87,609.8,547.2,26.51
GX010463.MP4,124.0,1196.0,18.0,0.1451,8.71,23.0,20.73,1.07,4.19,1.06,4.26,7.65,6.79,0.07,7.71,582.4,524.9,25.32
GX010466.MP4,174.1,1733.0,37.0,0.2125,12.75,23.0,20.87,1.0,4.2,1.01,4.28,7.56,6.82,0.05,7.87,585.8,531.5,25.47
GX010468.MP4,200.0,1966.0,51.0,0.255,15.3,23.0,20.57,0.98,4.06,0.99,4.23,7.48,6.74,0.05,7.81,568.5,508.3,24.72
GX010469.MP4,116.8,1101.0,25.0,0.214,12.84,23.0,20.52,1.09,4.21,1.13,4.3,7.67,6.81,0.07,7.56,582.0,519.3,25.31
GX010470.MP4,134.4,1312.0,38.0,0.2828,16.97,23.0,20.18,1.01,4.15,0.98,4.14,7.7,6.79,0.05,7.57,582.3,511.0,25.32
GX010471.MP4,159.0,1585.0,42.0,0.2642,15.85,23.0,20.85,1.05,4.35,1.1,4.32,8.04,6.99,0.1,7.8,634.7,575.4,27.6
GX010472.MP4,148.6,1477.0,44.0,0.296,17.76,23.0,21.9,0.97,4.34,1.09,4.76,8.19,7.02,0.09,7.93,616.2,586.8,26.79
GX010473.MP4,133.1,1320.0,30.0,0.2253,13.52,23.0,20.96,1.03,4.22,1.06,4.41,7.67,6.85,0.06,7.76,592.6,540.0,25.77
GX010474.MP4,207.6,1866.0,84.0,0.4046,24.28,23.0,21.3,1.01,4.15,1.01,4.53,7.95,6.97,0.08,7.76,578.5,535.6,25.15
GX010476.MP4,206.5,2059.0,60.0,0.2905,17.43,23.0,20.45,0.99,4.38,0.96,4.03,7.68,6.92,0.05,7.56,603.5,536.7,26.24
GX010477.MP4,322.8,2500.0,90.0,0.2788,16.73,23.0,21.55,0.79,4.86,0.75,3.86,8.29,6.73,0.09,6.85,862.6,808.3,37.51
GX010478.MP4,296.7,2958.0,67.0,0.2258,13.55,23.0,20.83,1.04,4.32,1.01,4.17,7.73,6.86,0.06,7.72,599.7,543.2,26.07
GX010479.MP4,112.2,1120.0,61.0,0.5438,32.63,23.0,21.89,1.0,4.59,1.0,4.65,8.33,7.47,0.11,8.04,621.2,591.3,27.01
GX010480.MP4,113.0,1112.0,18.0,0.1592,9.55,23.0,21.46,1.11,4.35,1.15,4.59,8.3,7.22,0.11,7.85,615.7,574.6,26.77
GX010481.MP4,203.3,2006.0,29.0,0.1426,8.56,23.0,21.83,1.25,4.4,1.2,4.67,8.22,7.37,0.09,7.99,618.2,586.9,26.88
GX010483.MP4,280.5,2734.0,45.0,0.1604,9.62,23.0,22.28,0.71,4.5,0.83,5.15,8.43,7.4,0.08,8.14,827.6,801.6,35.98
GX010492.MP4,56.4,530.0,30.0,0.5323,31.94,23.0,21.89,0.94,4.86,0.84,4.59,8.46,7.41,0.06,7.74,900.6,857.1,39.15
── AVERAGE ──,169.125,1606.4,41.2,0.2525,15.153,23.0,21.08,1.005,4.3175,1.007,4.3835,7.8885,6.958,0.0705,7.7545,632.32,581.325,27.4925
